Customer ID,Full Name,Father's Name,Gender,Date of Birth,Mobile number,Pan Number,Aadhar Number,Address,City,State,Pincode,DL Number,Passport Number,Cibil Score,Exisiting Loan,Employment Type,Employer Name,Monthly Salary,GST Number,Annual Turnover,KYC Status,
234586500,Pinky Surajkumar Chourasiya,Surajkumar Chourasiya,Female,4/12/1993,8765767789,EMMPS5338M,8765 6765 9870,Andheri East,Mumbai,MH,400001,MH1420119876543,N1234567,742,No,Salaried,ABC Tech Pvt Ltd,60000,27ABCDE1234F1Z5,1800000,Completed,
443322110,Rajesh Kumar,Kumar R,Male,3/2/2003,9874345723,ABCDE2222D,1111 1111 1143,Dodki,Nagpur,MH,441103,5/0003/2010,NULL,681,Yes,Salaried,Funds International,42000,NULL,NULL,Completed,
784512369,Omnik Nema,Nema,Male,1/1/2001,9237495713,ABCDE1234A,1111 1111 1111,Kondhall,Nagpur,MH,441103,5/0000/2010,NULL,715,No,Salaried,Microsoft,52000,NULL,NULL,Completed,
556781234,Kumar B,Kumar A,Male,3/3/2003,9475632894,ABCDE1111C,1111 1111 1234,Kondhall,Nagpur,MH,441103,5/0002/2010,NULL,790,Yes,Business,Self Employed,120000,24AAACM1234F1Z9,3500000,Completed,
887654321,Thandavamoorthy R,R Moorthy,Male,2/2/2002,8756473936,ABCDE4321B,1111 1111 1432,Kondhall,Nagpur,MH,441103,5/0001/2010,NULL,655,Yes,Salaried,Amazon India,70000,NULL,NULL,Completed,
765456787,Rohan Singh,Vikram Singh,Male,1/18/1996,8877565349,RNSPS6677C,8732 4532 6657,Gomti Nagar,Lucknow,UP,226030,UP3220189988776,NULL,602,No,Salaried,HDFC Bank,38000,NULL,NULL,Completed,
765654578,Anjali Patel,Ketan Patel,Female,12/5/1985,9764476578,ANJPP8899D,6789 6543 7800,Alkapuri,Vadodara,GJ,390007,GJ0620091122334,X3344556,820,No,Business,Patel Traders,150000,24BBBBB5678C1Z2,5200000,Completed,
324588765,Mohit Agarwal,Pradeep Agarwal,Male,7/28/1992,9764357689,MHAPS4433E,9843 2579 7546,Salt Lake,Kolkata,WB,700091,WB0820162233445,NULL,688,No,Salaried,Wipro,48000,NULL,NULL,Completed,
564738495,Pooja Nair,Suresh Nair,Female,2/14/1990,7583857658,PJNPN7788F,7564 7493 9763,Vyttila,Kochi,KL,682019,KL0720145566778,Z9988112,731,Yes,Salaried,EY India,75000,NULL,NULL,Completed,
127489584,Aman Khan,Imran Khan,Male,10/30/1987,8008744298,AMKPK5566G,3455 7689 1122,Park Circus,Kolkata,WB,700017,WB0920126655443,NULL,610,Yes,Self Employed,Retail Shop,35000,NULL,NULL,Pending,
